instance_id,pair_id,text1_lang,text2_lang,text1,text2,reverse_pair_id,label
dico_phrasis_0000003__en-eu__original,dico_phrasis_0000003,en,eu,Abe,Shinzo Abe Japoniako lehen ministroa,dico_phrasis_0000003__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000003__es-en__flipped,dico_phrasis_0000003,es,en,el primer ministro japonés Shinzo Abe,Abe,dico_phrasis_0000003__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000003__es-en__original,dico_phrasis_0000003,es,en,Abe,Japanese PM Shinzo Abe,dico_phrasis_0000003__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000003__es-eu__flipped,dico_phrasis_0000003,es,eu,el primer ministro japonés Shinzo Abe,Abe,dico_phrasis_0000003__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000003__es-eu__original,dico_phrasis_0000003,es,eu,Abe,Shinzo Abe Japoniako lehen ministroa,dico_phrasis_0000003__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000003__eu-en__flipped,dico_phrasis_0000003,eu,en,Shinzo Abe Japoniako lehen ministroa,Abe,dico_phrasis_0000003__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000003__eu-en__original,dico_phrasis_0000003,eu,en,Abe,Japanese PM Shinzo Abe,dico_phrasis_0000003__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000003__eu-es__flipped,dico_phrasis_0000003,eu,es,Shinzo Abe Japoniako lehen ministroa,Abe,dico_phrasis_0000003__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000003__eu-es__original,dico_phrasis_0000003,eu,es,Abe,el primer ministro japonés Shinzo Abe,dico_phrasis_0000003__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000005__en-es__flipped,dico_phrasis_0000005,en,es,ballistic missiles,misiles,dico_phrasis_0000005__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000005__en-es__original,dico_phrasis_0000005,en,es,missiles,misiles balísticos,dico_phrasis_0000005__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000005__en-eu__flipped,dico_phrasis_0000005,en,eu,ballistic missiles,misilak,dico_phrasis_0000005__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000005__en-eu__original,dico_phrasis_0000005,en,eu,missiles,misil balistikoak,dico_phrasis_0000005__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000005__es-en__flipped,dico_phrasis_0000005,es,en,misiles balísticos,missiles,dico_phrasis_0000005__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000005__es-en__original,dico_phrasis_0000005,es,en,misiles,ballistic missiles,dico_phrasis_0000005__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000005__es-eu__flipped,dico_phrasis_0000005,es,eu,misiles balísticos,misilak,dico_phrasis_0000005__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000005__es-eu__original,dico_phrasis_0000005,es,eu,misiles,misil balistikoak,dico_phrasis_0000005__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000005__eu-en__flipped,dico_phrasis_0000005,eu,en,misil balistikoak,missiles,dico_phrasis_0000005__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000005__eu-en__original,dico_phrasis_0000005,eu,en,misilak,ballistic missiles,dico_phrasis_0000005__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000005__eu-es__flipped,dico_phrasis_0000005,eu,es,misil balistikoak,misiles,dico_phrasis_0000005__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000005__eu-es__original,dico_phrasis_0000005,eu,es,misilak,misiles balísticos,dico_phrasis_0000005__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000006__en-es__flipped,dico_phrasis_0000006,en,es,among all dead,entre 9 muertos,dico_phrasis_0000006__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000006__en-es__original,dico_phrasis_0000006,en,es,among 9 killed,entre todos los muertos,dico_phrasis_0000006__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000006__en-eu__flipped,dico_phrasis_0000006,en,eu,among all dead,hildako 9 lagunen artean,dico_phrasis_0000006__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000006__en-eu__original,dico_phrasis_0000006,en,eu,among 9 killed,hildako guztien artean,dico_phrasis_0000006__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000006__es-en__flipped,dico_phrasis_0000006,es,en,entre todos los muertos,among 9 killed,dico_phrasis_0000006__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000006__es-en__original,dico_phrasis_0000006,es,en,entre 9 muertos,among all dead,dico_phrasis_0000006__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000006__es-eu__flipped,dico_phrasis_0000006,es,eu,entre todos los muertos,hildako 9 lagunen artean,dico_phrasis_0000006__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000006__es-eu__original,dico_phrasis_0000006,es,eu,entre 9 muertos,hildako guztien artean,dico_phrasis_0000006__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000006__eu-en__flipped,dico_phrasis_0000006,eu,en,hildako guztien artean,among 9 killed,dico_phrasis_0000006__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000006__eu-en__original,dico_phrasis_0000006,eu,en,hildako 9 lagunen artean,among all dead,dico_phrasis_0000006__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000006__eu-es__flipped,dico_phrasis_0000006,eu,es,hildako guztien artean,entre 9 muertos,dico_phrasis_0000006__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000006__eu-es__original,dico_phrasis_0000006,eu,es,hildako 9 lagunen artean,entre todos los muertos,dico_phrasis_0000006__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000009__en-es__flipped,dico_phrasis_0000009,en,es,89 dead,22 muertos,dico_phrasis_0000009__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000009__en-es__original,dico_phrasis_0000009,en,es,22 Dead,89 muertos,dico_phrasis_0000009__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000009__en-eu__flipped,dico_phrasis_0000009,en,eu,89 dead,22 hildako,dico_phrasis_0000009__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000009__en-eu__original,dico_phrasis_0000009,en,eu,22 Dead,89 hildako,dico_phrasis_0000009__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000009__es-en__flipped,dico_phrasis_0000009,es,en,89 muertos,22 Dead,dico_phrasis_0000009__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000009__es-en__original,dico_phrasis_0000009,es,en,22 muertos,89 dead,dico_phrasis_0000009__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000009__es-eu__flipped,dico_phrasis_0000009,es,eu,89 muertos,22 hildako,dico_phrasis_0000009__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000009__es-eu__original,dico_phrasis_0000009,es,eu,22 muertos,89 hildako,dico_phrasis_0000009__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000009__eu-en__flipped,dico_phrasis_0000009,eu,en,89 hildako,22 Dead,dico_phrasis_0000009__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000009__eu-en__original,dico_phrasis_0000009,eu,en,22 hildako,89 dead,dico_phrasis_0000009__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000009__eu-es__flipped,dico_phrasis_0000009,eu,es,89 hildako,22 muertos,dico_phrasis_0000009__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000009__eu-es__original,dico_phrasis_0000009,eu,es,22 hildako,89 muertos,dico_phrasis_0000009__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000011__en-es__flipped,dico_phrasis_0000011,en,es,Landslide Win,victoria,dico_phrasis_0000011__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000011__en-es__original,dico_phrasis_0000011,en,es,'s win,victoria aplastante,dico_phrasis_0000011__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000011__en-eu__flipped,dico_phrasis_0000011,en,eu,Landslide Win,-ren garaipena,dico_phrasis_0000011__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000011__en-eu__original,dico_phrasis_0000011,en,eu,'s win,garaipen zabala,dico_phrasis_0000011__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000011__es-en__flipped,dico_phrasis_0000011,es,en,victoria aplastante,'s win,dico_phrasis_0000011__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000011__es-en__original,dico_phrasis_0000011,es,en,victoria,Landslide Win,dico_phrasis_0000011__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000011__es-eu__flipped,dico_phrasis_0000011,es,eu,victoria aplastante,-ren garaipena,dico_phrasis_0000011__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000011__es-eu__original,dico_phrasis_0000011,es,eu,victoria,garaipen zabala,dico_phrasis_0000011__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000011__eu-en__flipped,dico_phrasis_0000011,eu,en,garaipen zabala,'s win,dico_phrasis_0000011__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000011__eu-en__original,dico_phrasis_0000011,eu,en,-ren garaipena,Landslide Win,dico_phrasis_0000011__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000011__eu-es__flipped,dico_phrasis_0000011,eu,es,garaipen zabala,victoria,dico_phrasis_0000011__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000011__eu-es__original,dico_phrasis_0000011,eu,es,-ren garaipena,victoria aplastante,dico_phrasis_0000011__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000012__en-es__flipped,dico_phrasis_0000012,en,es,in any hospital bed,en un hospital,dico_phrasis_0000012__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000012__en-es__original,dico_phrasis_0000012,en,es,in hospital,en cualquier cama de hospital,dico_phrasis_0000012__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000012__en-eu__flipped,dico_phrasis_0000012,en,eu,in any hospital bed,ospitalean,dico_phrasis_0000012__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000012__en-eu__original,dico_phrasis_0000012,en,eu,in hospital,ospitaleko edozein ohetan,dico_phrasis_0000012__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000012__es-en__flipped,dico_phrasis_0000012,es,en,en cualquier cama de hospital,in hospital,dico_phrasis_0000012__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000012__es-en__original,dico_phrasis_0000012,es,en,en un hospital,in any hospital bed,dico_phrasis_0000012__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000012__es-eu__flipped,dico_phrasis_0000012,es,eu,en cualquier cama de hospital,ospitalean,dico_phrasis_0000012__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000012__es-eu__original,dico_phrasis_0000012,es,eu,en un hospital,ospitaleko edozein ohetan,dico_phrasis_0000012__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000012__eu-en__flipped,dico_phrasis_0000012,eu,en,ospitaleko edozein ohetan,in hospital,dico_phrasis_0000012__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000012__eu-en__original,dico_phrasis_0000012,eu,en,ospitalean,in any hospital bed,dico_phrasis_0000012__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000012__eu-es__flipped,dico_phrasis_0000012,eu,es,ospitaleko edozein ohetan,en un hospital,dico_phrasis_0000012__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000012__eu-es__original,dico_phrasis_0000012,eu,es,ospitalean,en cualquier cama de hospital,dico_phrasis_0000012__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000013__en-es__flipped,dico_phrasis_0000013,en,es,as Sindh Assembly deputy speaker,vicepresidente de la SA,dico_phrasis_0000013__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000013__en-es__original,dico_phrasis_0000013,en,es,Deputy Speaker of SA,como vicepresidente de la Asamblea de Sindh,dico_phrasis_0000013__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000013__en-eu__flipped,dico_phrasis_0000013,en,eu,as Sindh Assembly deputy speaker,SAko presidenteordea,dico_phrasis_0000013__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000013__en-eu__original,dico_phrasis_0000013,en,eu,Deputy Speaker of SA,Sindh Asanbleako presidenteorde gisa,dico_phrasis_0000013__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000013__es-en__flipped,dico_phrasis_0000013,es,en,como vicepresidente de la Asamblea de Sindh,Deputy Speaker of SA,dico_phrasis_0000013__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000013__es-en__original,dico_phrasis_0000013,es,en,vicepresidente de la SA,as Sindh Assembly deputy speaker,dico_phrasis_0000013__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000013__es-eu__flipped,dico_phrasis_0000013,es,eu,como vicepresidente de la Asamblea de Sindh,SAko presidenteordea,dico_phrasis_0000013__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000013__es-eu__original,dico_phrasis_0000013,es,eu,vicepresidente de la SA,Sindh Asanbleako presidenteorde gisa,dico_phrasis_0000013__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000013__eu-en__flipped,dico_phrasis_0000013,eu,en,Sindh Asanbleako presidenteorde gisa,Deputy Speaker of SA,dico_phrasis_0000013__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000013__eu-en__original,dico_phrasis_0000013,eu,en,SAko presidenteordea,as Sindh Assembly deputy speaker,dico_phrasis_0000013__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000013__eu-es__flipped,dico_phrasis_0000013,eu,es,Sindh Asanbleako presidenteorde gisa,vicepresidente de la SA,dico_phrasis_0000013__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000013__eu-es__original,dico_phrasis_0000013,eu,es,SAko presidenteordea,como vicepresidente de la Asamblea de Sindh,dico_phrasis_0000013__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000014__en-es__flipped,dico_phrasis_0000014,en,es,'s youngest child Lady Soames,su descendiente menor,dico_phrasis_0000014__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000014__en-es__original,dico_phrasis_0000014,en,es,'s last child,"su hija menor, Lady Soames",dico_phrasis_0000014__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000014__en-eu__flipped,dico_phrasis_0000014,en,eu,'s youngest child Lady Soames,haren azken seme-alaba,dico_phrasis_0000014__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000014__en-eu__original,dico_phrasis_0000014,en,eu,'s last child,"haren seme-alabarik gazteena, Lady Soames",dico_phrasis_0000014__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000014__es-en__flipped,dico_phrasis_0000014,es,en,"su hija menor, Lady Soames",'s last child,dico_phrasis_0000014__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000014__es-en__original,dico_phrasis_0000014,es,en,su descendiente menor,'s youngest child Lady Soames,dico_phrasis_0000014__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000014__es-eu__flipped,dico_phrasis_0000014,es,eu,"su hija menor, Lady Soames",haren azken seme-alaba,dico_phrasis_0000014__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000014__es-eu__original,dico_phrasis_0000014,es,eu,su descendiente menor,"haren seme-alabarik gazteena, Lady Soames",dico_phrasis_0000014__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000014__eu-en__flipped,dico_phrasis_0000014,eu,en,"haren seme-alabarik gazteena, Lady Soames",'s last child,dico_phrasis_0000014__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000014__eu-en__original,dico_phrasis_0000014,eu,en,haren azken seme-alaba,'s youngest child Lady Soames,dico_phrasis_0000014__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000014__eu-es__flipped,dico_phrasis_0000014,eu,es,"haren seme-alabarik gazteena, Lady Soames",su descendiente menor,dico_phrasis_0000014__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000014__eu-es__original,dico_phrasis_0000014,eu,es,haren azken seme-alaba,"su hija menor, Lady Soames",dico_phrasis_0000014__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000015__en-es__flipped,dico_phrasis_0000015,en,es,in Gulf waters,en el mar,dico_phrasis_0000015__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000015__en-es__original,dico_phrasis_0000015,en,es,into sea,en aguas del Golfo,dico_phrasis_0000015__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000015__en-eu__flipped,dico_phrasis_0000015,en,eu,in Gulf waters,itsasora,dico_phrasis_0000015__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000015__en-eu__original,dico_phrasis_0000015,en,eu,into sea,Golkoko uretan,dico_phrasis_0000015__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000015__es-en__flipped,dico_phrasis_0000015,es,en,en aguas del Golfo,into sea,dico_phrasis_0000015__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000015__es-en__original,dico_phrasis_0000015,es,en,en el mar,in Gulf waters,dico_phrasis_0000015__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000015__es-eu__flipped,dico_phrasis_0000015,es,eu,en aguas del Golfo,itsasora,dico_phrasis_0000015__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000015__es-eu__original,dico_phrasis_0000015,es,eu,en el mar,Golkoko uretan,dico_phrasis_0000015__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000015__eu-en__flipped,dico_phrasis_0000015,eu,en,Golkoko uretan,into sea,dico_phrasis_0000015__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000015__eu-en__original,dico_phrasis_0000015,eu,en,itsasora,in Gulf waters,dico_phrasis_0000015__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000015__eu-es__flipped,dico_phrasis_0000015,eu,es,Golkoko uretan,en el mar,dico_phrasis_0000015__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000015__eu-es__original,dico_phrasis_0000015,eu,es,itsasora,en aguas del Golfo,dico_phrasis_0000015__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000016__en-es__flipped,dico_phrasis_0000016,en,es,as any president,presidente de,dico_phrasis_0000016__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000016__en-es__original,dico_phrasis_0000016,en,es,'s president,como cualquier presidente,dico_phrasis_0000016__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000016__en-eu__flipped,dico_phrasis_0000016,en,eu,as any president,-ren presidentea,dico_phrasis_0000016__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000016__en-eu__original,dico_phrasis_0000016,en,eu,'s president,edozein presidentek bezala,dico_phrasis_0000016__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000016__es-en__flipped,dico_phrasis_0000016,es,en,como cualquier presidente,'s president,dico_phrasis_0000016__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000016__es-en__original,dico_phrasis_0000016,es,en,presidente de,as any president,dico_phrasis_0000016__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000016__es-eu__flipped,dico_phrasis_0000016,es,eu,como cualquier presidente,-ren presidentea,dico_phrasis_0000016__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000016__es-eu__original,dico_phrasis_0000016,es,eu,presidente de,edozein presidentek bezala,dico_phrasis_0000016__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000016__eu-en__flipped,dico_phrasis_0000016,eu,en,edozein presidentek bezala,'s president,dico_phrasis_0000016__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000016__eu-en__original,dico_phrasis_0000016,eu,en,-ren presidentea,as any president,dico_phrasis_0000016__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000016__eu-es__flipped,dico_phrasis_0000016,eu,es,edozein presidentek bezala,presidente de,dico_phrasis_0000016__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000016__eu-es__original,dico_phrasis_0000016,eu,es,-ren presidentea,como cualquier presidente,dico_phrasis_0000016__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000017__en-es__flipped,dico_phrasis_0000017,en,es,at New Orleans Parade Shooting,en un tiroteo en Nueva Orleans,dico_phrasis_0000017__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000017__en-es__original,dico_phrasis_0000017,en,es,in New Orleans shooting,en el tiroteo del desfile de Nueva Orleans,dico_phrasis_0000017__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000017__en-eu__flipped,dico_phrasis_0000017,en,eu,at New Orleans Parade Shooting,New Orleanseko tiroketa batean,dico_phrasis_0000017__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000017__en-eu__original,dico_phrasis_0000017,en,eu,in New Orleans shooting,New Orleanseko desfileko tiroketan,dico_phrasis_0000017__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000017__es-en__flipped,dico_phrasis_0000017,es,en,en el tiroteo del desfile de Nueva Orleans,in New Orleans shooting,dico_phrasis_0000017__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000017__es-en__original,dico_phrasis_0000017,es,en,en un tiroteo en Nueva Orleans,at New Orleans Parade Shooting,dico_phrasis_0000017__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000017__es-eu__flipped,dico_phrasis_0000017,es,eu,en el tiroteo del desfile de Nueva Orleans,New Orleanseko tiroketa batean,dico_phrasis_0000017__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000017__es-eu__original,dico_phrasis_0000017,es,eu,en un tiroteo en Nueva Orleans,New Orleanseko desfileko tiroketan,dico_phrasis_0000017__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000017__eu-en__flipped,dico_phrasis_0000017,eu,en,New Orleanseko desfileko tiroketan,in New Orleans shooting,dico_phrasis_0000017__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000017__eu-en__original,dico_phrasis_0000017,eu,en,New Orleanseko tiroketa batean,at New Orleans Parade Shooting,dico_phrasis_0000017__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000017__eu-es__flipped,dico_phrasis_0000017,eu,es,New Orleanseko desfileko tiroketan,en un tiroteo en Nueva Orleans,dico_phrasis_0000017__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000017__eu-es__original,dico_phrasis_0000017,eu,es,New Orleanseko tiroketa batean,en el tiroteo del desfile de Nueva Orleans,dico_phrasis_0000017__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000020__en-es__flipped,dico_phrasis_0000020,en,es,MKO claim,afirmación,dico_phrasis_0000020__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000020__en-es__original,dico_phrasis_0000020,en,es,claim,afirmación de MKO,dico_phrasis_0000020__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000020__en-eu__flipped,dico_phrasis_0000020,en,eu,MKO claim,aldarrikapena,dico_phrasis_0000020__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000020__en-eu__original,dico_phrasis_0000020,en,eu,claim,MKOren aldarrikapena,dico_phrasis_0000020__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000020__es-en__flipped,dico_phrasis_0000020,es,en,afirmación de MKO,claim,dico_phrasis_0000020__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000020__es-en__original,dico_phrasis_0000020,es,en,afirmación,MKO claim,dico_phrasis_0000020__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000020__es-eu__flipped,dico_phrasis_0000020,es,eu,afirmación de MKO,aldarrikapena,dico_phrasis_0000020__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000020__es-eu__original,dico_phrasis_0000020,es,eu,afirmación,MKOren aldarrikapena,dico_phrasis_0000020__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000020__eu-en__flipped,dico_phrasis_0000020,eu,en,MKOren aldarrikapena,claim,dico_phrasis_0000020__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000020__eu-en__original,dico_phrasis_0000020,eu,en,aldarrikapena,MKO claim,dico_phrasis_0000020__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000020__eu-es__flipped,dico_phrasis_0000020,eu,es,MKOren aldarrikapena,afirmación,dico_phrasis_0000020__es-eu__original,FORWARD_ENTAILMENT
