instance_id,pair_id,text1_lang,text2_lang,text1,text2
dico_trial_0035__eu-eu__forward,dico_trial_0035,eu,eu,AEBetako adopzio debekura,adopzio debekura
dico_trial_0035__eu-eu__reverse,dico_trial_0035,eu,eu,adopzio debekura,AEBetako adopzio debekura
dico_trial_0036__eu-eu__forward,dico_trial_0036,eu,eu,sexu bereko ezkontzaren lege-proiektua,sexu bereko ezkontza
dico_trial_0036__eu-eu__reverse,dico_trial_0036,eu,eu,sexu bereko ezkontza,sexu bereko ezkontzaren lege-proiektua
dico_trial_0037__eu-eu__forward,dico_trial_0037,eu,eu,Israelgo ordezkariak,Israelgo ordezkaria
dico_trial_0037__eu-eu__reverse,dico_trial_0037,eu,eu,Israelgo ordezkaria,Israelgo ordezkariak
dico_trial_0038__eu-eu__forward,dico_trial_0038,eu,eu,kolonien planei buruz,koloniei buruz
dico_trial_0038__eu-eu__reverse,dico_trial_0038,eu,eu,koloniei buruz,kolonien planei buruz
dico_trial_0039__eu-eu__forward,dico_trial_0039,eu,eu,bi auto-bonba,auto-bonba erasoa
dico_trial_0039__eu-eu__reverse,dico_trial_0039,eu,eu,auto-bonba erasoa,bi auto-bonba
dico_trial_0040__eu-eu__forward,dico_trial_0040,eu,eu,Libiako Bengasin,Bengasin
dico_trial_0040__eu-eu__reverse,dico_trial_0040,eu,eu,Bengasin,Libiako Bengasin
dico_trial_0041__eu-eu__forward,dico_trial_0041,eu,eu,sexu bereko ezkontzen entzunaldirako,sexu bereko ezkontzaren alde
dico_trial_0041__eu-eu__reverse,dico_trial_0041,eu,eu,sexu bereko ezkontzaren alde,sexu bereko ezkontzen entzunaldirako
dico_trial_0042__eu-eu__forward,dico_trial_0042,eu,eu,akordio nuklear historikoa,akordio nuklearra
dico_trial_0042__eu-eu__reverse,dico_trial_0042,eu,eu,akordio nuklearra,akordio nuklear historikoa
dico_trial_0043__eu-eu__forward,dico_trial_0043,eu,eu,eskuko ekipajeko likidoak eta gelak,eskuko ekipajeko likidoak
dico_trial_0043__eu-eu__reverse,dico_trial_0043,eu,eu,eskuko ekipajeko likidoak,eskuko ekipajeko likidoak eta gelak
dico_trial_0044__eu-eu__forward,dico_trial_0044,eu,eu,AEBetako akzioak,akzioak
dico_trial_0044__eu-eu__reverse,dico_trial_0044,eu,eu,akzioak,AEBetako akzioak
dico_trial_0045__eu-eu__forward,dico_trial_0045,eu,eu,Siriako hiriburuan,Sirian
dico_trial_0045__eu-eu__reverse,dico_trial_0045,eu,eu,Sirian,Siriako hiriburuan
dico_trial_0046__eu-eu__forward,dico_trial_0046,eu,eu,futboleko baloi bat,pilota bat
dico_trial_0046__eu-eu__reverse,dico_trial_0046,eu,eu,pilota bat,futboleko baloi bat
dico_trial_0047__eu-eu__forward,dico_trial_0047,eu,eu,txakur marroi bat,txakur bat
dico_trial_0047__eu-eu__reverse,dico_trial_0047,eu,eu,txakur bat,txakur marroi bat
dico_trial_0048__eu-eu__forward,dico_trial_0048,eu,eu,bi neska gazte,bi neska
dico_trial_0048__eu-eu__reverse,dico_trial_0048,eu,eu,bi neska,bi neska gazte
dico_trial_0049__eu-eu__forward,dico_trial_0049,eu,eu,txakur marroi argia,txakur marroi bat
dico_trial_0049__eu-eu__reverse,dico_trial_0049,eu,eu,txakur marroi bat,txakur marroi argia
dico_trial_0050__eu-eu__forward,dico_trial_0050,eu,eu,lau haur txiki,lau haur
dico_trial_0050__eu-eu__reverse,dico_trial_0050,eu,eu,lau haur,lau haur txiki
dico_trial_0051__eu-eu__forward,dico_trial_0051,eu,eu,mutil gazte bat,mutila
dico_trial_0051__eu-eu__reverse,dico_trial_0051,eu,eu,mutila,mutil gazte bat
dico_trial_0052__eu-eu__forward,dico_trial_0052,eu,eu,gizon bat,pertsona bat
dico_trial_0052__eu-eu__reverse,dico_trial_0052,eu,eu,pertsona bat,gizon bat
dico_trial_0053__eu-eu__forward,dico_trial_0053,eu,eu,uhal oso luze bat,uhal luze bat
dico_trial_0053__eu-eu__reverse,dico_trial_0053,eu,eu,uhal luze bat,uhal oso luze bat
dico_trial_0054__eu-eu__forward,dico_trial_0054,eu,eu,kamisetarik gabeko gizon bat,gizon bat
dico_trial_0054__eu-eu__reverse,dico_trial_0054,eu,eu,gizon bat,kamisetarik gabeko gizon bat
dico_trial_0055__eu-eu__forward,dico_trial_0055,eu,eu,txakur marroi handi bat,txakur marroi bat
dico_trial_0055__eu-eu__reverse,dico_trial_0055,eu,eu,txakur marroi bat,txakur marroi handi bat
dico_trial_0056__eu-eu__forward,dico_trial_0056,eu,eu,bi txakur,txakur bat
dico_trial_0056__eu-eu__reverse,dico_trial_0056,eu,eu,txakur bat,bi txakur
dico_trial_0057__eu-eu__forward,dico_trial_0057,eu,eu,bi gizon,gizon bat
dico_trial_0057__eu-eu__reverse,dico_trial_0057,eu,eu,gizon bat,bi gizon
dico_trial_0058__eu-eu__forward,dico_trial_0058,eu,eu,bi nerabe,bi pertsona
dico_trial_0058__eu-eu__reverse,dico_trial_0058,eu,eu,bi pertsona,bi nerabe
dico_trial_0059__eu-eu__forward,dico_trial_0059,eu,eu,tren beltza,tren bat
dico_trial_0059__eu-eu__reverse,dico_trial_0059,eu,eu,tren bat,tren beltza
dico_trial_0060__eu-eu__forward,dico_trial_0060,eu,eu,katu grisa,katu bat
dico_trial_0060__eu-eu__reverse,dico_trial_0060,eu,eu,katu bat,katu grisa
dico_trial_0061__eu-eu__forward,dico_trial_0061,eu,eu,emakumeak,emakume saudiarrak
dico_trial_0061__eu-eu__reverse,dico_trial_0061,eu,eu,emakume saudiarrak,emakumeak
dico_trial_0062__eu-eu__forward,dico_trial_0062,eu,eu,aire-erasoa,aire-eraso berri bat
dico_trial_0062__eu-eu__reverse,dico_trial_0062,eu,eu,aire-eraso berri bat,aire-erasoa
dico_trial_0063__eu-eu__forward,dico_trial_0063,eu,eu,panda gorria,desagertutako panda gorria
dico_trial_0063__eu-eu__reverse,dico_trial_0063,eu,eu,desagertutako panda gorria,panda gorria
dico_trial_0064__eu-eu__forward,dico_trial_0064,eu,eu,auto-bonba erasoa,auto-bonba erasoak
dico_trial_0064__eu-eu__reverse,dico_trial_0064,eu,eu,auto-bonba erasoak,auto-bonba erasoa
dico_trial_0065__eu-eu__forward,dico_trial_0065,eu,eu,Indiako polizia,Mumbaiko polizia
dico_trial_0065__eu-eu__reverse,dico_trial_0065,eu,eu,Mumbaiko polizia,Indiako polizia
dico_trial_0066__eu-eu__forward,dico_trial_0066,eu,eu,batzordea,Senatuko Batzorde Judiziala
dico_trial_0066__eu-eu__reverse,dico_trial_0066,eu,eu,Senatuko Batzorde Judiziala,batzordea
dico_trial_0067__eu-eu__forward,dico_trial_0067,eu,eu,osasun legea,osasun lege berria
dico_trial_0067__eu-eu__reverse,dico_trial_0067,eu,eu,osasun lege berria,osasun legea
dico_trial_0068__eu-eu__forward,dico_trial_0068,eu,eu,bonba,bonba erasoa
dico_trial_0068__eu-eu__reverse,dico_trial_0068,eu,eu,bonba erasoa,bonba
dico_trial_0069__eu-eu__forward,dico_trial_0069,eu,eu,Patriot misilen bateria,Patriot misilen bateriak
dico_trial_0069__eu-eu__reverse,dico_trial_0069,eu,eu,Patriot misilen bateriak,Patriot misilen bateria
dico_trial_0070__eu-eu__forward,dico_trial_0070,eu,eu,erasotzaile suizida,erasotzaile suizidak
dico_trial_0070__eu-eu__reverse,dico_trial_0070,eu,eu,erasotzaile suizidak,erasotzaile suizida
dico_trial_0071__eu-eu__forward,dico_trial_0071,eu,eu,gidaria,tren-gidaria
dico_trial_0071__eu-eu__reverse,dico_trial_0071,eu,eu,tren-gidaria,gidaria
dico_trial_0072__eu-eu__forward,dico_trial_0072,eu,eu,itzulera,itzulerarako
dico_trial_0072__eu-eu__reverse,dico_trial_0072,eu,eu,itzulerarako,itzulera
dico_trial_0073__eu-eu__forward,dico_trial_0073,eu,eu,kontserbadoreak,oposizio kontserbadorea
dico_trial_0073__eu-eu__reverse,dico_trial_0073,eu,eu,oposizio kontserbadorea,kontserbadoreak
dico_trial_0074__eu-eu__forward,dico_trial_0074,eu,eu,misilak,misil balistikoak
dico_trial_0074__eu-eu__reverse,dico_trial_0074,eu,eu,misil balistikoak,misilak
dico_trial_0075__eu-eu__forward,dico_trial_0075,eu,eu,bideoa,segurtasun-bideoa
dico_trial_0075__eu-eu__reverse,dico_trial_0075,eu,eu,segurtasun-bideoa,bideoa
dico_trial_0076__eu-eu__forward,dico_trial_0076,eu,eu,haur bat,mutil gazte bat
dico_trial_0076__eu-eu__reverse,dico_trial_0076,eu,eu,mutil gazte bat,haur bat
dico_trial_0077__eu-eu__forward,dico_trial_0077,eu,eu,txakur bat,txakur zuri bat
dico_trial_0077__eu-eu__reverse,dico_trial_0077,eu,eu,txakur zuri bat,txakur bat
dico_trial_0078__eu-eu__forward,dico_trial_0078,eu,eu,mutil bat,mutil txiki bat
dico_trial_0078__eu-eu__reverse,dico_trial_0078,eu,eu,mutil txiki bat,mutil bat
dico_trial_0079__eu-eu__forward,dico_trial_0079,eu,eu,txakur bat,txakur txiki bat
dico_trial_0079__eu-eu__reverse,dico_trial_0079,eu,eu,txakur txiki bat,txakur bat
dico_trial_0080__eu-eu__forward,dico_trial_0080,eu,eu,mutil bat,mutil txiki bat
dico_trial_0080__eu-eu__reverse,dico_trial_0080,eu,eu,mutil txiki bat,mutil bat
dico_trial_0081__eu-eu__forward,dico_trial_0081,eu,eu,haur bat,haur txiki bat
dico_trial_0081__eu-eu__reverse,dico_trial_0081,eu,eu,haur txiki bat,haur bat
dico_trial_0082__eu-eu__forward,dico_trial_0082,eu,eu,txakur marroia,txakur marroi argala
dico_trial_0082__eu-eu__reverse,dico_trial_0082,eu,eu,txakur marroi argala,txakur marroia
dico_trial_0083__eu-eu__forward,dico_trial_0083,eu,eu,pertsona,haur bat
dico_trial_0083__eu-eu__reverse,dico_trial_0083,eu,eu,haur bat,pertsona
dico_trial_0084__eu-eu__forward,dico_trial_0084,eu,eu,mutil bat,mutil gazte bat
dico_trial_0084__eu-eu__reverse,dico_trial_0084,eu,eu,mutil gazte bat,mutil bat
dico_trial_0085__eu-eu__forward,dico_trial_0085,eu,eu,bi txakur,bi txakur marroi
dico_trial_0085__eu-eu__reverse,dico_trial_0085,eu,eu,bi txakur marroi,bi txakur
dico_trial_0086__eu-eu__forward,dico_trial_0086,eu,eu,txakur zuri bat,txakur zuri handi bat
dico_trial_0086__eu-eu__reverse,dico_trial_0086,eu,eu,txakur zuri handi bat,txakur zuri bat
dico_trial_0087__eu-eu__forward,dico_trial_0087,eu,eu,neska bat,neska txiki bat
dico_trial_0087__eu-eu__reverse,dico_trial_0087,eu,eu,neska txiki bat,neska bat
dico_trial_0088__eu-eu__forward,dico_trial_0088,eu,eu,bi neska,bi neska ilehori
dico_trial_0088__eu-eu__reverse,dico_trial_0088,eu,eu,bi neska ilehori,bi neska
dico_trial_0089__eu-eu__forward,dico_trial_0089,eu,eu,emakume bat,neska gazte bat
dico_trial_0089__eu-eu__reverse,dico_trial_0089,eu,eu,neska gazte bat,emakume bat
dico_trial_0090__eu-eu__forward,dico_trial_0090,eu,eu,emakume bat,emakume gazte bat
dico_trial_0090__eu-eu__reverse,dico_trial_0090,eu,eu,emakume gazte bat,emakume bat
dico_trial_0091__eu-eu__forward,dico_trial_0091,eu,eu,dio,Siriako bakea
dico_trial_0092__eu-eu__forward,dico_trial_0092,eu,eu,ukatzen du,Houlako sarraskiagatik
dico_trial_0093__eu-eu__forward,dico_trial_0093,eu,eu,Siriako erregimena,matxinoak
dico_trial_0094__eu-eu__forward,dico_trial_0094,eu,eu,Salomon Uharteak,USGS
dico_trial_0095__eu-eu__forward,dico_trial_0095,eu,eu,gizon armatuak,zazpi langile atzerritar
dico_trial_0096__eu-eu__forward,dico_trial_0096,eu,eu,eski istripuaren ondoren,bere bizitzagatik
dico_trial_0097__eu-eu__forward,dico_trial_0097,eu,eu,erabakita,EBko ministroak
dico_trial_0098__eu-eu__forward,dico_trial_0098,eu,eu,Thailandiako oposizioko alderdia,iragartzen du
dico_trial_0099__eu-eu__forward,dico_trial_0099,eu,eu,jarraitzen du,gastatzeko
dico_trial_0100__eu-eu__forward,dico_trial_0100,eu,eu,exekutatzeko,preso palestinarren askapena
dico_trial_0101__eu-eu__forward,dico_trial_0101,eu,eu,preso palestinarrak,baimentzen du
dico_trial_0102__eu-eu__forward,dico_trial_0102,eu,eu,116 urterekin,Japonia
dico_trial_0103__eu-eu__forward,dico_trial_0103,eu,eu,gelditzeko,tentsioa
dico_trial_0104__eu-eu__forward,dico_trial_0104,eu,eu,kaleetan,Leninen estatua
dico_trial_0105__eu-eu__forward,dico_trial_0105,eu,eu,Ipar Korea,bi suziri
dico_trial_0106__eu-eu__forward,dico_trial_0106,eu,eu,katu bat,goian
dico_trial_0107__eu-eu__forward,dico_trial_0107,eu,eu,zaldi bat,hesi barruan
dico_trial_0108__eu-eu__forward,dico_trial_0108,eu,eu,gizon bat,aulki batean
dico_trial_0109__eu-eu__forward,dico_trial_0109,eu,eu,garagardo batekin,bi emakume
dico_trial_0110__eu-eu__forward,dico_trial_0110,eu,eu,belarretan,zuhaitzak atzean dituela
dico_trial_0111__eu-eu__forward,dico_trial_0111,eu,eu,hesi barruan,zaldi bat
dico_trial_0112__eu-eu__forward,dico_trial_0112,eu,eu,ibiltzen da,bide batean
dico_trial_0113__eu-eu__forward,dico_trial_0113,eu,eu,eserita dago,bizikleta batekin
dico_trial_0114__eu-eu__forward,dico_trial_0114,eu,eu,poltsa baten gainean,etxeko katua
dico_trial_0115__eu-eu__forward,dico_trial_0115,eu,eu,txakur bat,hozka ari da
dico_trial_0116__eu-eu__forward,dico_trial_0116,eu,eu,txakur bat,lanbasa bat
dico_trial_0117__eu-eu__forward,dico_trial_0117,eu,eu,koadrodun banderak,bi emakume
dico_trial_0118__eu-eu__forward,dico_trial_0118,eu,eu,emakume bat,jendetza batean
dico_trial_0119__eu-eu__forward,dico_trial_0119,eu,eu,txakur marroi bat,jarraitzen dio
dico_trial_0120__eu-eu__forward,dico_trial_0120,eu,eu,skate bat,pistako elementu baten alboan
