instance_id,pair_id,text1_lang,text2_lang,text1,text2
dico_phrasis_0000401__en-en__forward,dico_phrasis_0000401,en,en,arrested to Buckingham Palace,After Buckingham Palace Arrest
dico_phrasis_0000401__en-en__reverse,dico_phrasis_0000401,en,en,After Buckingham Palace Arrest,arrested to Buckingham Palace
dico_phrasis_0000402__en-en__forward,dico_phrasis_0000402,en,en,'s Brotherhood,Muslim Brotherhood
dico_phrasis_0000402__en-en__reverse,dico_phrasis_0000402,en,en,Muslim Brotherhood,'s Brotherhood
dico_phrasis_0000404__en-en__forward,dico_phrasis_0000404,en,en,'s Brotherhood,'s Muslim Brotherhood
dico_phrasis_0000404__en-en__reverse,dico_phrasis_0000404,en,en,'s Muslim Brotherhood,'s Brotherhood
dico_phrasis_0000413__en-en__forward,dico_phrasis_0000413,en,en,Two firefighters,Two New York firefighters
dico_phrasis_0000413__en-en__reverse,dico_phrasis_0000413,en,en,Two New York firefighters,Two firefighters
dico_phrasis_0000421__en-en__forward,dico_phrasis_0000421,en,en,Mubarak release,Mubarak 's release request
dico_phrasis_0000421__en-en__reverse,dico_phrasis_0000421,en,en,Mubarak 's release request,Mubarak release
dico_phrasis_0000423__en-en__forward,dico_phrasis_0000423,en,en,in Bomb Blasts in Iraq,In Baquba Blasts
dico_phrasis_0000423__en-en__reverse,dico_phrasis_0000423,en,en,In Baquba Blasts,in Bomb Blasts in Iraq
dico_phrasis_0000427__en-en__forward,dico_phrasis_0000427,en,en,in the water,on the sea
dico_phrasis_0000427__en-en__reverse,dico_phrasis_0000427,en,en,on the sea,in the water
dico_phrasis_0000431__en-en__forward,dico_phrasis_0000431,en,en,a woman,A young woman
dico_phrasis_0000431__en-en__reverse,dico_phrasis_0000431,en,en,A young woman,a woman
dico_phrasis_0000432__en-en__forward,dico_phrasis_0000432,en,en,with a big necklace,with a black top and a necklace
dico_phrasis_0000432__en-en__reverse,dico_phrasis_0000432,en,en,with a black top and a necklace,with a big necklace
dico_phrasis_0000440__en-en__forward,dico_phrasis_0000440,en,en,A cat,"A gray , black , and white cat"
dico_phrasis_0000440__en-en__reverse,dico_phrasis_0000440,en,en,"A gray , black , and white cat",A cat
dico_phrasis_0000444__en-en__forward,dico_phrasis_0000444,en,en,in the field,in a lush green field
dico_phrasis_0000444__en-en__reverse,dico_phrasis_0000444,en,en,in a lush green field,in the field
dico_phrasis_0000454__en-en__forward,dico_phrasis_0000454,en,en,a boat,on a boat
dico_phrasis_0000454__en-en__reverse,dico_phrasis_0000454,en,en,on a boat,a boat
dico_phrasis_0000458__en-en__forward,dico_phrasis_0000458,en,en,with a dining table,with large sofas and a dining table
dico_phrasis_0000458__en-en__reverse,dico_phrasis_0000458,en,en,with large sofas and a dining table,with a dining table
dico_phrasis_0000460__en-en__forward,dico_phrasis_0000460,en,en,A close-up,Close up image
dico_phrasis_0000460__en-en__reverse,dico_phrasis_0000460,en,en,Close up image,A close-up
dico_phrasis_0000464__en-en__forward,dico_phrasis_0000464,en,en,with blue shirt,in a blue shirt and tan pants
dico_phrasis_0000464__en-en__reverse,dico_phrasis_0000464,en,en,in a blue shirt and tan pants,with blue shirt
dico_phrasis_0000465__en-en__forward,dico_phrasis_0000465,en,en,in front of a bookcase,in front of book shelves
dico_phrasis_0000465__en-en__reverse,dico_phrasis_0000465,en,en,in front of book shelves,in front of a bookcase
dico_phrasis_0000469__en-en__forward,dico_phrasis_0000469,en,en,A red and white bus,A red and white England bus
dico_phrasis_0000469__en-en__reverse,dico_phrasis_0000469,en,en,A red and white England bus,A red and white bus
dico_phrasis_0000470__en-en__forward,dico_phrasis_0000470,en,en,A bird,A large black bird
dico_phrasis_0000470__en-en__reverse,dico_phrasis_0000470,en,en,A large black bird,A bird
dico_phrasis_0000474__en-en__forward,dico_phrasis_0000474,en,en,Beer bottles -LRB- -LRB- Harp Lager -RRB- -RRB-,A row of beer bottles
dico_phrasis_0000474__en-en__reverse,dico_phrasis_0000474,en,en,A row of beer bottles,Beer bottles -LRB- -LRB- Harp Lager -RRB- -RRB-
dico_phrasis_0000479__en-en__forward,dico_phrasis_0000479,en,en,outside,outside of a bus
dico_phrasis_0000479__en-en__reverse,dico_phrasis_0000479,en,en,outside of a bus,outside
dico_phrasis_0000482__en-en__forward,dico_phrasis_0000482,en,en,A car,A silver car
dico_phrasis_0000482__en-en__reverse,dico_phrasis_0000482,en,en,A silver car,A car
dico_phrasis_0000486__en-en__forward,dico_phrasis_0000486,en,en,a car,in a classic car
dico_phrasis_0000486__en-en__reverse,dico_phrasis_0000486,en,en,in a classic car,a car
dico_phrasis_0000490__en-en__forward,dico_phrasis_0000490,en,en,in a restaurant,in an Italian restaurant
dico_phrasis_0000490__en-en__reverse,dico_phrasis_0000490,en,en,in an Italian restaurant,in a restaurant
dico_phrasis_0000495__en-en__forward,dico_phrasis_0000495,en,en,Train,A black steam train
dico_phrasis_0000495__en-en__reverse,dico_phrasis_0000495,en,en,A black steam train,Train
dico_phrasis_0000512__en-en__forward,dico_phrasis_0000512,en,en,A bird,A yellow bird
dico_phrasis_0000512__en-en__reverse,dico_phrasis_0000512,en,en,A yellow bird,A bird
dico_phrasis_0000514__en-en__forward,dico_phrasis_0000514,en,en,from the feeder,from a bird feeder
dico_phrasis_0000514__en-en__reverse,dico_phrasis_0000514,en,en,from a bird feeder,from the feeder
dico_phrasis_0000517__en-en__forward,dico_phrasis_0000517,en,en,Boy,A small boy
dico_phrasis_0000517__en-en__reverse,dico_phrasis_0000517,en,en,A small boy,Boy
dico_phrasis_0000522__en-en__forward,dico_phrasis_0000522,en,en,in front of a train,in front of a silver train
dico_phrasis_0000522__en-en__reverse,dico_phrasis_0000522,en,en,in front of a silver train,in front of a train
dico_phrasis_0000531__en-en__forward,dico_phrasis_0000531,en,en,a white horse,on a white horse
dico_phrasis_0000531__en-en__reverse,dico_phrasis_0000531,en,en,on a white horse,a white horse
dico_phrasis_0000537__en-en__forward,dico_phrasis_0000537,en,en,a motorcycle,a red motorcycle
dico_phrasis_0000537__en-en__reverse,dico_phrasis_0000537,en,en,a red motorcycle,a motorcycle
dico_phrasis_0000540__en-en__forward,dico_phrasis_0000540,en,en,in hay,in a pen with hay
dico_phrasis_0000540__en-en__reverse,dico_phrasis_0000540,en,en,in a pen with hay,in hay
dico_phrasis_0000541__en-en__forward,dico_phrasis_0000541,en,en,a street,along the street
dico_phrasis_0000541__en-en__reverse,dico_phrasis_0000541,en,en,along the street,a street
dico_phrasis_0000546__en-en__forward,dico_phrasis_0000546,en,en,The black bird,A blackbird
dico_phrasis_0000546__en-en__reverse,dico_phrasis_0000546,en,en,A blackbird,The black bird
dico_phrasis_0000548__en-en__forward,dico_phrasis_0000548,en,en,a white and gray horse,of a gray and white horse
dico_phrasis_0000548__en-en__reverse,dico_phrasis_0000548,en,en,of a gray and white horse,a white and gray horse
dico_phrasis_0000559__en-en__forward,dico_phrasis_0000559,en,en,A person,A man
dico_phrasis_0000559__en-en__reverse,dico_phrasis_0000559,en,en,A man,A person
dico_phrasis_0000566__en-en__forward,dico_phrasis_0000566,en,en,of an ostrich,of an ostrich face
dico_phrasis_0000566__en-en__reverse,dico_phrasis_0000566,en,en,of an ostrich face,of an ostrich
dico_phrasis_0000568__en-en__forward,dico_phrasis_0000568,en,en,Parked white double decker bus,A red and white double decker bus is parked
dico_phrasis_0000568__en-en__reverse,dico_phrasis_0000568,en,en,A red and white double decker bus is parked,Parked white double decker bus
dico_phrasis_0000581__en-en__forward,dico_phrasis_0000581,en,en,A man and woman,Four women and two men
dico_phrasis_0000581__en-en__reverse,dico_phrasis_0000581,en,en,Four women and two men,A man and woman
dico_phrasis_0000582__en-en__forward,dico_phrasis_0000582,en,en,Three young women,Three dark haired young women
dico_phrasis_0000582__en-en__reverse,dico_phrasis_0000582,en,en,Three dark haired young women,Three young women
dico_phrasis_0000583__en-en__forward,dico_phrasis_0000583,en,en,A black and white cow,A black and white horned cow
dico_phrasis_0000583__en-en__reverse,dico_phrasis_0000583,en,en,A black and white horned cow,A black and white cow
dico_phrasis_0000589__en-en__forward,dico_phrasis_0000589,en,en,Someone,A man
dico_phrasis_0000589__en-en__reverse,dico_phrasis_0000589,en,en,A man,Someone
dico_phrasis_0000599__en-en__forward,dico_phrasis_0000599,en,en,A white plane,A white Swiss airplane
dico_phrasis_0000599__en-en__reverse,dico_phrasis_0000599,en,en,A white Swiss airplane,A white plane
dico_phrasis_0000603__en-en__forward,dico_phrasis_0000603,en,en,in a sink,in bathroom sink
dico_phrasis_0000603__en-en__reverse,dico_phrasis_0000603,en,en,in bathroom sink,in a sink
dico_phrasis_0000606__en-en__forward,dico_phrasis_0000606,en,en,a street,on a city street
dico_phrasis_0000606__en-en__reverse,dico_phrasis_0000606,en,en,on a city street,a street
dico_phrasis_0000608__en-en__forward,dico_phrasis_0000608,en,en,being petted,being held and petted
dico_phrasis_0000608__en-en__reverse,dico_phrasis_0000608,en,en,being held and petted,being petted
dico_phrasis_0000614__en-en__forward,dico_phrasis_0000614,en,en,with dog,with a puppy
dico_phrasis_0000614__en-en__reverse,dico_phrasis_0000614,en,en,with a puppy,with dog
dico_phrasis_0000616__en-en__forward,dico_phrasis_0000616,en,en,of a television screen,The wall-mounted flat-screen TV
dico_phrasis_0000616__en-en__reverse,dico_phrasis_0000616,en,en,The wall-mounted flat-screen TV,of a television screen
dico_phrasis_0000629__en-en__forward,dico_phrasis_0000629,en,en,while a man,next to a helmeted man
dico_phrasis_0000629__en-en__reverse,dico_phrasis_0000629,en,en,next to a helmeted man,while a man
dico_phrasis_0000630__en-en__forward,dico_phrasis_0000630,en,en,beside a road and a lake,on the edge of a road with a lake and a mountain in the background
dico_phrasis_0000630__en-en__reverse,dico_phrasis_0000630,en,en,on the edge of a road with a lake and a mountain in the background,beside a road and a lake
dico_phrasis_0000636__en-en__forward,dico_phrasis_0000636,en,en,sitting,while sitting
dico_phrasis_0000636__en-en__reverse,dico_phrasis_0000636,en,en,while sitting,sitting
dico_phrasis_0000638__en-en__forward,dico_phrasis_0000638,en,en,revokes,to repeal
dico_phrasis_0000638__en-en__reverse,dico_phrasis_0000638,en,en,to repeal,revokes
dico_phrasis_0000642__en-en__forward,dico_phrasis_0000642,en,en,Ukrainian protesters,Ukraine protesters
dico_phrasis_0000642__en-en__reverse,dico_phrasis_0000642,en,en,Ukraine protesters,Ukrainian protesters
dico_phrasis_0000646__en-en__forward,dico_phrasis_0000646,en,en,South Korean President,S. Korean president
dico_phrasis_0000646__en-en__reverse,dico_phrasis_0000646,en,en,S. Korean president,South Korean President
dico_phrasis_0000650__en-en__forward,dico_phrasis_0000650,en,en,at 116,Aged 116
dico_phrasis_0000650__en-en__reverse,dico_phrasis_0000650,en,en,Aged 116,at 116
dico_phrasis_0000652__en-en__forward,dico_phrasis_0000652,en,en,responding,is responding
dico_phrasis_0000652__en-en__reverse,dico_phrasis_0000652,en,en,is responding,responding
dico_phrasis_0000654__en-en__forward,dico_phrasis_0000654,en,en,"US , Russia",US and Russia
dico_phrasis_0000654__en-en__reverse,dico_phrasis_0000654,en,en,US and Russia,"US , Russia"
dico_phrasis_0000673__en-en__forward,dico_phrasis_0000673,en,en,Red Cross workers,Red Cross members
dico_phrasis_0000673__en-en__reverse,dico_phrasis_0000673,en,en,Red Cross members,Red Cross workers
dico_phrasis_0000683__en-en__forward,dico_phrasis_0000683,en,en,Putin,Vladimir Putin
dico_phrasis_0000683__en-en__reverse,dico_phrasis_0000683,en,en,Vladimir Putin,Putin
dico_phrasis_0000685__en-en__forward,dico_phrasis_0000685,en,en,New Australian PM Tony Abbott,Australian PM-elect Tony Abbott
dico_phrasis_0000685__en-en__reverse,dico_phrasis_0000685,en,en,Australian PM-elect Tony Abbott,New Australian PM Tony Abbott
dico_phrasis_0000687__en-en__forward,dico_phrasis_0000687,en,en,for mass march,for mass rally
dico_phrasis_0000687__en-en__reverse,dico_phrasis_0000687,en,en,for mass rally,for mass march
dico_phrasis_0000689__en-en__forward,dico_phrasis_0000689,en,en,Fire in Russian psychiatric hospital,in Russian psychiatric hospital fire
dico_phrasis_0000689__en-en__reverse,dico_phrasis_0000689,en,en,in Russian psychiatric hospital fire,Fire in Russian psychiatric hospital
dico_phrasis_0000690__en-en__forward,dico_phrasis_0000690,en,en,Volcano erupts,Volcanic eruption
dico_phrasis_0000690__en-en__reverse,dico_phrasis_0000690,en,en,Volcanic eruption,Volcano erupts
dico_phrasis_0000694__en-en__forward,dico_phrasis_0000694,en,en,election for 7 September,Sept. 7 poll
dico_phrasis_0000694__en-en__reverse,dico_phrasis_0000694,en,en,Sept. 7 poll,election for 7 September
dico_phrasis_0000713__en-en__forward,dico_phrasis_0000713,en,en,Glee star Cory Monteith,' Glee ' star Cory Monteith
dico_phrasis_0000713__en-en__reverse,dico_phrasis_0000713,en,en,' Glee ' star Cory Monteith,Glee star Cory Monteith
dico_phrasis_0000720__en-en__forward,dico_phrasis_0000720,en,en,about 6-year-old Indian girl,After Indian Girl 6
dico_phrasis_0000720__en-en__reverse,dico_phrasis_0000720,en,en,After Indian Girl 6,about 6-year-old Indian girl
