instance_id,pair_id,text1_lang,text2_lang,text1,text2,reverse_pair_id,label
dico_trial_0002__eu-en__reverse,dico_trial_0002,eu,en,Olinpiar Jokoetan,in Olympics,dico_trial_0002__en-eu__forward,EQUIVALENCE
dico_trial_0002__eu-es__forward,dico_trial_0002,eu,es,Olinpiar Jokoetan,en los Juegos Olímpicos,dico_trial_0002__es-eu__reverse,EQUIVALENCE
dico_trial_0002__eu-es__reverse,dico_trial_0002,eu,es,Olinpiar Jokoetan,en los Juegos Olímpicos,dico_trial_0002__es-eu__forward,EQUIVALENCE
dico_trial_0003__en-es__forward,dico_trial_0003,en,es,to permit,permitido,dico_trial_0003__es-en__reverse,EQUIVALENCE
dico_trial_0003__en-es__reverse,dico_trial_0003,en,es,Allowed,permitir,dico_trial_0003__es-en__forward,EQUIVALENCE
dico_trial_0003__en-eu__forward,dico_trial_0003,en,eu,to permit,baimenduta,dico_trial_0003__eu-en__reverse,EQUIVALENCE
dico_trial_0003__en-eu__reverse,dico_trial_0003,en,eu,Allowed,baimentzeko,dico_trial_0003__eu-en__forward,EQUIVALENCE
dico_trial_0003__es-en__forward,dico_trial_0003,es,en,permitir,Allowed,dico_trial_0003__en-es__reverse,EQUIVALENCE
dico_trial_0003__es-en__reverse,dico_trial_0003,es,en,permitido,to permit,dico_trial_0003__en-es__forward,EQUIVALENCE
dico_trial_0003__es-eu__forward,dico_trial_0003,es,eu,permitir,baimenduta,dico_trial_0003__eu-es__reverse,EQUIVALENCE
dico_trial_0003__es-eu__reverse,dico_trial_0003,es,eu,permitido,baimentzeko,dico_trial_0003__eu-es__forward,EQUIVALENCE
dico_trial_0003__eu-en__forward,dico_trial_0003,eu,en,baimentzeko,Allowed,dico_trial_0003__en-eu__reverse,EQUIVALENCE
dico_trial_0003__eu-en__reverse,dico_trial_0003,eu,en,baimenduta,to permit,dico_trial_0003__en-eu__forward,EQUIVALENCE
dico_trial_0003__eu-es__forward,dico_trial_0003,eu,es,baimentzeko,permitido,dico_trial_0003__es-eu__reverse,EQUIVALENCE
dico_trial_0003__eu-es__reverse,dico_trial_0003,eu,es,baimenduta,permitir,dico_trial_0003__es-eu__forward,EQUIVALENCE
dico_trial_0004__en-es__forward,dico_trial_0004,en,es,China stocks,acciones chinas,dico_trial_0004__es-en__reverse,EQUIVALENCE
dico_trial_0004__en-es__reverse,dico_trial_0004,en,es,Chinese stocks,acciones chinas,dico_trial_0004__es-en__forward,EQUIVALENCE
dico_trial_0004__en-eu__forward,dico_trial_0004,en,eu,China stocks,Txinako akzioak,dico_trial_0004__eu-en__reverse,EQUIVALENCE
dico_trial_0004__en-eu__reverse,dico_trial_0004,en,eu,Chinese stocks,Txinako akzioak,dico_trial_0004__eu-en__forward,EQUIVALENCE
dico_trial_0004__es-en__forward,dico_trial_0004,es,en,acciones chinas,Chinese stocks,dico_trial_0004__en-es__reverse,EQUIVALENCE
dico_trial_0004__es-en__reverse,dico_trial_0004,es,en,acciones chinas,China stocks,dico_trial_0004__en-es__forward,EQUIVALENCE
dico_trial_0004__es-eu__forward,dico_trial_0004,es,eu,acciones chinas,Txinako akzioak,dico_trial_0004__eu-es__reverse,EQUIVALENCE
dico_trial_0004__es-eu__reverse,dico_trial_0004,es,eu,acciones chinas,Txinako akzioak,dico_trial_0004__eu-es__forward,EQUIVALENCE
dico_trial_0004__eu-en__forward,dico_trial_0004,eu,en,Txinako akzioak,Chinese stocks,dico_trial_0004__en-eu__reverse,EQUIVALENCE
dico_trial_0004__eu-en__reverse,dico_trial_0004,eu,en,Txinako akzioak,China stocks,dico_trial_0004__en-eu__forward,EQUIVALENCE
dico_trial_0004__eu-es__forward,dico_trial_0004,eu,es,Txinako akzioak,acciones chinas,dico_trial_0004__es-eu__reverse,EQUIVALENCE
dico_trial_0004__eu-es__reverse,dico_trial_0004,eu,es,Txinako akzioak,acciones chinas,dico_trial_0004__es-eu__forward,EQUIVALENCE
dico_trial_0005__en-es__forward,dico_trial_0005,en,es,Announces Retirement,se retira,dico_trial_0005__es-en__reverse,EQUIVALENCE
dico_trial_0005__en-es__reverse,dico_trial_0005,en,es,retires,anuncia su retirada,dico_trial_0005__es-en__forward,EQUIVALENCE
dico_trial_0005__en-eu__forward,dico_trial_0005,en,eu,Announces Retirement,erretiratu da,dico_trial_0005__eu-en__reverse,EQUIVALENCE
dico_trial_0005__en-eu__reverse,dico_trial_0005,en,eu,retires,erretiroa iragarri du,dico_trial_0005__eu-en__forward,EQUIVALENCE
dico_trial_0005__es-en__forward,dico_trial_0005,es,en,anuncia su retirada,retires,dico_trial_0005__en-es__reverse,EQUIVALENCE
dico_trial_0005__es-en__reverse,dico_trial_0005,es,en,se retira,Announces Retirement,dico_trial_0005__en-es__forward,EQUIVALENCE
dico_trial_0005__es-eu__forward,dico_trial_0005,es,eu,anuncia su retirada,erretiratu da,dico_trial_0005__eu-es__reverse,EQUIVALENCE
dico_trial_0005__es-eu__reverse,dico_trial_0005,es,eu,se retira,erretiroa iragarri du,dico_trial_0005__eu-es__forward,EQUIVALENCE
dico_trial_0005__eu-en__forward,dico_trial_0005,eu,en,erretiroa iragarri du,retires,dico_trial_0005__en-eu__reverse,EQUIVALENCE
dico_trial_0005__eu-en__reverse,dico_trial_0005,eu,en,erretiratu da,Announces Retirement,dico_trial_0005__en-eu__forward,EQUIVALENCE
dico_trial_0005__eu-es__forward,dico_trial_0005,eu,es,erretiroa iragarri du,se retira,dico_trial_0005__es-eu__reverse,EQUIVALENCE
dico_trial_0005__eu-es__reverse,dico_trial_0005,eu,es,erretiratu da,anuncia su retirada,dico_trial_0005__es-eu__forward,EQUIVALENCE
dico_trial_0006__en-es__forward,dico_trial_0006,en,es,George W. Bush,George W. Bush,dico_trial_0006__es-en__reverse,EQUIVALENCE
dico_trial_0006__en-es__reverse,dico_trial_0006,en,es,George W Bush,George W. Bush,dico_trial_0006__es-en__forward,EQUIVALENCE
dico_trial_0006__en-eu__forward,dico_trial_0006,en,eu,George W. Bush,George W. Bush,dico_trial_0006__eu-en__reverse,EQUIVALENCE
dico_trial_0006__en-eu__reverse,dico_trial_0006,en,eu,George W Bush,George W. Bush,dico_trial_0006__eu-en__forward,EQUIVALENCE
dico_trial_0006__es-en__forward,dico_trial_0006,es,en,George W. Bush,George W Bush,dico_trial_0006__en-es__reverse,EQUIVALENCE
dico_trial_0006__es-en__reverse,dico_trial_0006,es,en,George W. Bush,George W. Bush,dico_trial_0006__en-es__forward,EQUIVALENCE
dico_trial_0006__es-eu__forward,dico_trial_0006,es,eu,George W. Bush,George W. Bush,dico_trial_0006__eu-es__reverse,EQUIVALENCE
dico_trial_0006__es-eu__reverse,dico_trial_0006,es,eu,George W. Bush,George W. Bush,dico_trial_0006__eu-es__forward,EQUIVALENCE
dico_trial_0006__eu-en__forward,dico_trial_0006,eu,en,George W. Bush,George W Bush,dico_trial_0006__en-eu__reverse,EQUIVALENCE
dico_trial_0006__eu-en__reverse,dico_trial_0006,eu,en,George W. Bush,George W. Bush,dico_trial_0006__en-eu__forward,EQUIVALENCE
dico_trial_0006__eu-es__forward,dico_trial_0006,eu,es,George W. Bush,George W. Bush,dico_trial_0006__es-eu__reverse,EQUIVALENCE
dico_trial_0006__eu-es__reverse,dico_trial_0006,eu,es,George W. Bush,George W. Bush,dico_trial_0006__es-eu__forward,EQUIVALENCE
dico_trial_0007__en-es__forward,dico_trial_0007,en,es,2 French Journalists,dos periodistas franceses,dico_trial_0007__es-en__reverse,EQUIVALENCE
dico_trial_0007__en-es__reverse,dico_trial_0007,en,es,Two French journalists,dos periodistas franceses,dico_trial_0007__es-en__forward,EQUIVALENCE
dico_trial_0007__en-eu__forward,dico_trial_0007,en,eu,2 French Journalists,bi kazetari frantses,dico_trial_0007__eu-en__reverse,EQUIVALENCE
dico_trial_0007__en-eu__reverse,dico_trial_0007,en,eu,Two French journalists,bi kazetari frantses,dico_trial_0007__eu-en__forward,EQUIVALENCE
dico_trial_0007__es-en__forward,dico_trial_0007,es,en,dos periodistas franceses,Two French journalists,dico_trial_0007__en-es__reverse,EQUIVALENCE
dico_trial_0007__es-en__reverse,dico_trial_0007,es,en,dos periodistas franceses,2 French Journalists,dico_trial_0007__en-es__forward,EQUIVALENCE
dico_trial_0007__es-eu__forward,dico_trial_0007,es,eu,dos periodistas franceses,bi kazetari frantses,dico_trial_0007__eu-es__reverse,EQUIVALENCE
dico_trial_0007__es-eu__reverse,dico_trial_0007,es,eu,dos periodistas franceses,bi kazetari frantses,dico_trial_0007__eu-es__forward,EQUIVALENCE
dico_trial_0007__eu-en__forward,dico_trial_0007,eu,en,bi kazetari frantses,Two French journalists,dico_trial_0007__en-eu__reverse,EQUIVALENCE
dico_trial_0007__eu-en__reverse,dico_trial_0007,eu,en,bi kazetari frantses,2 French Journalists,dico_trial_0007__en-eu__forward,EQUIVALENCE
dico_trial_0007__eu-es__forward,dico_trial_0007,eu,es,bi kazetari frantses,dos periodistas franceses,dico_trial_0007__es-eu__reverse,EQUIVALENCE
dico_trial_0007__eu-es__reverse,dico_trial_0007,eu,es,bi kazetari frantses,dos periodistas franceses,dico_trial_0007__es-eu__forward,EQUIVALENCE
dico_trial_0008__en-es__forward,dico_trial_0008,en,es,2 injured,dos heridos,dico_trial_0008__es-en__reverse,EQUIVALENCE
dico_trial_0008__en-es__reverse,dico_trial_0008,en,es,2 hurt,dos heridos,dico_trial_0008__es-en__forward,EQUIVALENCE
dico_trial_0008__en-eu__forward,dico_trial_0008,en,eu,2 injured,bi zauritu,dico_trial_0008__eu-en__reverse,EQUIVALENCE
dico_trial_0008__en-eu__reverse,dico_trial_0008,en,eu,2 hurt,bi zauritu,dico_trial_0008__eu-en__forward,EQUIVALENCE
dico_trial_0008__es-en__forward,dico_trial_0008,es,en,dos heridos,2 hurt,dico_trial_0008__en-es__reverse,EQUIVALENCE
dico_trial_0008__es-en__reverse,dico_trial_0008,es,en,dos heridos,2 injured,dico_trial_0008__en-es__forward,EQUIVALENCE
dico_trial_0008__es-eu__forward,dico_trial_0008,es,eu,dos heridos,bi zauritu,dico_trial_0008__eu-es__reverse,EQUIVALENCE
dico_trial_0008__es-eu__reverse,dico_trial_0008,es,eu,dos heridos,bi zauritu,dico_trial_0008__eu-es__forward,EQUIVALENCE
dico_trial_0008__eu-en__forward,dico_trial_0008,eu,en,bi zauritu,2 hurt,dico_trial_0008__en-eu__reverse,EQUIVALENCE
dico_trial_0008__eu-en__reverse,dico_trial_0008,eu,en,bi zauritu,2 injured,dico_trial_0008__en-eu__forward,EQUIVALENCE
dico_trial_0008__eu-es__forward,dico_trial_0008,eu,es,bi zauritu,dos heridos,dico_trial_0008__es-eu__reverse,EQUIVALENCE
dico_trial_0008__eu-es__reverse,dico_trial_0008,eu,es,bi zauritu,dos heridos,dico_trial_0008__es-eu__forward,EQUIVALENCE
dico_trial_0009__en-es__forward,dico_trial_0009,en,es,U.S. Northeast,noreste de EE. UU.,dico_trial_0009__es-en__reverse,EQUIVALENCE
dico_trial_0009__en-es__reverse,dico_trial_0009,en,es,US Northeast,noreste de EE. UU.,dico_trial_0009__es-en__forward,EQUIVALENCE
dico_trial_0009__en-eu__forward,dico_trial_0009,en,eu,U.S. Northeast,AEBetako ipar-ekialdea,dico_trial_0009__eu-en__reverse,EQUIVALENCE
dico_trial_0009__en-eu__reverse,dico_trial_0009,en,eu,US Northeast,AEBetako ipar-ekialdea,dico_trial_0009__eu-en__forward,EQUIVALENCE
dico_trial_0009__es-en__forward,dico_trial_0009,es,en,noreste de EE. UU.,US Northeast,dico_trial_0009__en-es__reverse,EQUIVALENCE
dico_trial_0009__es-en__reverse,dico_trial_0009,es,en,noreste de EE. UU.,U.S. Northeast,dico_trial_0009__en-es__forward,EQUIVALENCE
dico_trial_0009__es-eu__forward,dico_trial_0009,es,eu,noreste de EE. UU.,AEBetako ipar-ekialdea,dico_trial_0009__eu-es__reverse,EQUIVALENCE
dico_trial_0009__es-eu__reverse,dico_trial_0009,es,eu,noreste de EE. UU.,AEBetako ipar-ekialdea,dico_trial_0009__eu-es__forward,EQUIVALENCE
dico_trial_0009__eu-en__forward,dico_trial_0009,eu,en,AEBetako ipar-ekialdea,US Northeast,dico_trial_0009__en-eu__reverse,EQUIVALENCE
dico_trial_0009__eu-en__reverse,dico_trial_0009,eu,en,AEBetako ipar-ekialdea,U.S. Northeast,dico_trial_0009__en-eu__forward,EQUIVALENCE
dico_trial_0009__eu-es__forward,dico_trial_0009,eu,es,AEBetako ipar-ekialdea,noreste de EE. UU.,dico_trial_0009__es-eu__reverse,EQUIVALENCE
dico_trial_0009__eu-es__reverse,dico_trial_0009,eu,es,AEBetako ipar-ekialdea,noreste de EE. UU.,dico_trial_0009__es-eu__forward,EQUIVALENCE
dico_trial_0010__en-es__forward,dico_trial_0010,en,es,the U.S.,EE. UU.,dico_trial_0010__es-en__reverse,EQUIVALENCE
dico_trial_0010__en-es__reverse,dico_trial_0010,en,es,US,EE. UU.,dico_trial_0010__es-en__forward,EQUIVALENCE
dico_trial_0010__en-eu__forward,dico_trial_0010,en,eu,the U.S.,AEB,dico_trial_0010__eu-en__reverse,EQUIVALENCE
dico_trial_0010__en-eu__reverse,dico_trial_0010,en,eu,US,AEB,dico_trial_0010__eu-en__forward,EQUIVALENCE
dico_trial_0010__es-en__forward,dico_trial_0010,es,en,EE. UU.,US,dico_trial_0010__en-es__reverse,EQUIVALENCE
dico_trial_0010__es-en__reverse,dico_trial_0010,es,en,EE. UU.,the U.S.,dico_trial_0010__en-es__forward,EQUIVALENCE
dico_trial_0010__es-eu__forward,dico_trial_0010,es,eu,EE. UU.,AEB,dico_trial_0010__eu-es__reverse,EQUIVALENCE
dico_trial_0010__es-eu__reverse,dico_trial_0010,es,eu,EE. UU.,AEB,dico_trial_0010__eu-es__forward,EQUIVALENCE
dico_trial_0010__eu-en__forward,dico_trial_0010,eu,en,AEB,US,dico_trial_0010__en-eu__reverse,EQUIVALENCE
dico_trial_0010__eu-en__reverse,dico_trial_0010,eu,en,AEB,the U.S.,dico_trial_0010__en-eu__forward,EQUIVALENCE
dico_trial_0010__eu-es__forward,dico_trial_0010,eu,es,AEB,EE. UU.,dico_trial_0010__es-eu__reverse,EQUIVALENCE
dico_trial_0010__eu-es__reverse,dico_trial_0010,eu,es,AEB,EE. UU.,dico_trial_0010__es-eu__forward,EQUIVALENCE
dico_trial_0011__en-es__forward,dico_trial_0011,en,es,2020 Olympic Games,Olimpiadas de 2020,dico_trial_0011__es-en__reverse,EQUIVALENCE
dico_trial_0011__en-es__reverse,dico_trial_0011,en,es,2020 Olympics,Juegos Olímpicos de 2020,dico_trial_0011__es-en__forward,EQUIVALENCE
dico_trial_0011__en-eu__forward,dico_trial_0011,en,eu,2020 Olympic Games,2020ko Olinpiar Jokoak,dico_trial_0011__eu-en__reverse,EQUIVALENCE
dico_trial_0011__en-eu__reverse,dico_trial_0011,en,eu,2020 Olympics,2020ko Olinpiar Jokoak,dico_trial_0011__eu-en__forward,EQUIVALENCE
dico_trial_0011__es-en__forward,dico_trial_0011,es,en,Juegos Olímpicos de 2020,2020 Olympics,dico_trial_0011__en-es__reverse,EQUIVALENCE
dico_trial_0011__es-en__reverse,dico_trial_0011,es,en,Olimpiadas de 2020,2020 Olympic Games,dico_trial_0011__en-es__forward,EQUIVALENCE
dico_trial_0011__es-eu__forward,dico_trial_0011,es,eu,Juegos Olímpicos de 2020,2020ko Olinpiar Jokoak,dico_trial_0011__eu-es__reverse,EQUIVALENCE
dico_trial_0011__es-eu__reverse,dico_trial_0011,es,eu,Olimpiadas de 2020,2020ko Olinpiar Jokoak,dico_trial_0011__eu-es__forward,EQUIVALENCE
dico_trial_0011__eu-en__forward,dico_trial_0011,eu,en,2020ko Olinpiar Jokoak,2020 Olympics,dico_trial_0011__en-eu__reverse,EQUIVALENCE
dico_trial_0011__eu-en__reverse,dico_trial_0011,eu,en,2020ko Olinpiar Jokoak,2020 Olympic Games,dico_trial_0011__en-eu__forward,EQUIVALENCE
dico_trial_0011__eu-es__forward,dico_trial_0011,eu,es,2020ko Olinpiar Jokoak,Olimpiadas de 2020,dico_trial_0011__es-eu__reverse,EQUIVALENCE
dico_trial_0011__eu-es__reverse,dico_trial_0011,eu,es,2020ko Olinpiar Jokoak,Juegos Olímpicos de 2020,dico_trial_0011__es-eu__forward,EQUIVALENCE
dico_trial_0012__en-es__forward,dico_trial_0012,en,es,N Korea,Corea del Norte,dico_trial_0012__es-en__reverse,EQUIVALENCE
dico_trial_0012__en-es__reverse,dico_trial_0012,en,es,North Korea,Corea del Norte,dico_trial_0012__es-en__forward,EQUIVALENCE
dico_trial_0012__en-eu__forward,dico_trial_0012,en,eu,N Korea,Ipar Korea,dico_trial_0012__eu-en__reverse,EQUIVALENCE
dico_trial_0012__en-eu__reverse,dico_trial_0012,en,eu,North Korea,Ipar Korea,dico_trial_0012__eu-en__forward,EQUIVALENCE
dico_trial_0012__es-en__forward,dico_trial_0012,es,en,Corea del Norte,North Korea,dico_trial_0012__en-es__reverse,EQUIVALENCE
dico_trial_0012__es-en__reverse,dico_trial_0012,es,en,Corea del Norte,N Korea,dico_trial_0012__en-es__forward,EQUIVALENCE
dico_trial_0012__es-eu__forward,dico_trial_0012,es,eu,Corea del Norte,Ipar Korea,dico_trial_0012__eu-es__reverse,EQUIVALENCE
dico_trial_0012__es-eu__reverse,dico_trial_0012,es,eu,Corea del Norte,Ipar Korea,dico_trial_0012__eu-es__forward,EQUIVALENCE
dico_trial_0012__eu-en__forward,dico_trial_0012,eu,en,Ipar Korea,North Korea,dico_trial_0012__en-eu__reverse,EQUIVALENCE
dico_trial_0012__eu-en__reverse,dico_trial_0012,eu,en,Ipar Korea,N Korea,dico_trial_0012__en-eu__forward,EQUIVALENCE
dico_trial_0012__eu-es__forward,dico_trial_0012,eu,es,Ipar Korea,Corea del Norte,dico_trial_0012__es-eu__reverse,EQUIVALENCE
dico_trial_0012__eu-es__reverse,dico_trial_0012,eu,es,Ipar Korea,Corea del Norte,dico_trial_0012__es-eu__forward,EQUIVALENCE
dico_trial_0013__en-es__forward,dico_trial_0013,en,es,the Philippines,Filipinas,dico_trial_0013__es-en__reverse,EQUIVALENCE
dico_trial_0013__en-es__reverse,dico_trial_0013,en,es,Philippines,Filipinas,dico_trial_0013__es-en__forward,EQUIVALENCE
dico_trial_0013__en-eu__forward,dico_trial_0013,en,eu,the Philippines,Filipinak,dico_trial_0013__eu-en__reverse,EQUIVALENCE
dico_trial_0013__en-eu__reverse,dico_trial_0013,en,eu,Philippines,Filipinak,dico_trial_0013__eu-en__forward,EQUIVALENCE
dico_trial_0013__es-en__forward,dico_trial_0013,es,en,Filipinas,Philippines,dico_trial_0013__en-es__reverse,EQUIVALENCE
dico_trial_0013__es-en__reverse,dico_trial_0013,es,en,Filipinas,the Philippines,dico_trial_0013__en-es__forward,EQUIVALENCE
dico_trial_0013__es-eu__forward,dico_trial_0013,es,eu,Filipinas,Filipinak,dico_trial_0013__eu-es__reverse,EQUIVALENCE
dico_trial_0013__es-eu__reverse,dico_trial_0013,es,eu,Filipinas,Filipinak,dico_trial_0013__eu-es__forward,EQUIVALENCE
dico_trial_0013__eu-en__forward,dico_trial_0013,eu,en,Filipinak,Philippines,dico_trial_0013__en-eu__reverse,EQUIVALENCE
dico_trial_0013__eu-en__reverse,dico_trial_0013,eu,en,Filipinak,the Philippines,dico_trial_0013__en-eu__forward,EQUIVALENCE
dico_trial_0013__eu-es__forward,dico_trial_0013,eu,es,Filipinak,Filipinas,dico_trial_0013__es-eu__reverse,EQUIVALENCE
dico_trial_0013__eu-es__reverse,dico_trial_0013,eu,es,Filipinak,Filipinas,dico_trial_0013__es-eu__forward,EQUIVALENCE
dico_trial_0014__en-es__forward,dico_trial_0014,en,es,UN resolution,resolución de la ONU,dico_trial_0014__es-en__reverse,EQUIVALENCE
dico_trial_0014__en-es__reverse,dico_trial_0014,en,es,U.N. resolution,resolución de la ONU,dico_trial_0014__es-en__forward,EQUIVALENCE
dico_trial_0014__en-eu__forward,dico_trial_0014,en,eu,UN resolution,NBEren ebazpena,dico_trial_0014__eu-en__reverse,EQUIVALENCE
dico_trial_0014__en-eu__reverse,dico_trial_0014,en,eu,U.N. resolution,NBEren ebazpena,dico_trial_0014__eu-en__forward,EQUIVALENCE
dico_trial_0014__es-en__forward,dico_trial_0014,es,en,resolución de la ONU,U.N. resolution,dico_trial_0014__en-es__reverse,EQUIVALENCE
dico_trial_0014__es-en__reverse,dico_trial_0014,es,en,resolución de la ONU,UN resolution,dico_trial_0014__en-es__forward,EQUIVALENCE
dico_trial_0014__es-eu__forward,dico_trial_0014,es,eu,resolución de la ONU,NBEren ebazpena,dico_trial_0014__eu-es__reverse,EQUIVALENCE
dico_trial_0014__es-eu__reverse,dico_trial_0014,es,eu,resolución de la ONU,NBEren ebazpena,dico_trial_0014__eu-es__forward,EQUIVALENCE
dico_trial_0014__eu-en__forward,dico_trial_0014,eu,en,NBEren ebazpena,U.N. resolution,dico_trial_0014__en-eu__reverse,EQUIVALENCE
dico_trial_0014__eu-en__reverse,dico_trial_0014,eu,en,NBEren ebazpena,UN resolution,dico_trial_0014__en-eu__forward,EQUIVALENCE
dico_trial_0014__eu-es__forward,dico_trial_0014,eu,es,NBEren ebazpena,resolución de la ONU,dico_trial_0014__es-eu__reverse,EQUIVALENCE
dico_trial_0014__eu-es__reverse,dico_trial_0014,eu,es,NBEren ebazpena,resolución de la ONU,dico_trial_0014__es-eu__forward,EQUIVALENCE
dico_trial_0015__en-es__forward,dico_trial_0015,en,es,N. Korea,Corea del Norte,dico_trial_0015__es-en__reverse,EQUIVALENCE
dico_trial_0015__en-es__reverse,dico_trial_0015,en,es,North Korea,Corea del Norte,dico_trial_0015__es-en__forward,EQUIVALENCE
dico_trial_0015__en-eu__forward,dico_trial_0015,en,eu,N. Korea,Ipar Korea,dico_trial_0015__eu-en__reverse,EQUIVALENCE
dico_trial_0015__en-eu__reverse,dico_trial_0015,en,eu,North Korea,Ipar Korea,dico_trial_0015__eu-en__forward,EQUIVALENCE
dico_trial_0015__es-en__forward,dico_trial_0015,es,en,Corea del Norte,North Korea,dico_trial_0015__en-es__reverse,EQUIVALENCE
dico_trial_0015__es-en__reverse,dico_trial_0015,es,en,Corea del Norte,N. Korea,dico_trial_0015__en-es__forward,EQUIVALENCE
dico_trial_0015__es-eu__forward,dico_trial_0015,es,eu,Corea del Norte,Ipar Korea,dico_trial_0015__eu-es__reverse,EQUIVALENCE
dico_trial_0015__es-eu__reverse,dico_trial_0015,es,eu,Corea del Norte,Ipar Korea,dico_trial_0015__eu-es__forward,EQUIVALENCE
dico_trial_0015__eu-en__forward,dico_trial_0015,eu,en,Ipar Korea,North Korea,dico_trial_0015__en-eu__reverse,EQUIVALENCE
dico_trial_0015__eu-en__reverse,dico_trial_0015,eu,en,Ipar Korea,N. Korea,dico_trial_0015__en-eu__forward,EQUIVALENCE
dico_trial_0015__eu-es__forward,dico_trial_0015,eu,es,Ipar Korea,Corea del Norte,dico_trial_0015__es-eu__reverse,EQUIVALENCE
dico_trial_0015__eu-es__reverse,dico_trial_0015,eu,es,Ipar Korea,Corea del Norte,dico_trial_0015__es-eu__forward,EQUIVALENCE
dico_trial_0016__en-es__forward,dico_trial_0016,en,es,walking,está caminando,dico_trial_0016__es-en__reverse,EQUIVALENCE
dico_trial_0016__en-es__reverse,dico_trial_0016,en,es,is walking,caminando,dico_trial_0016__es-en__forward,EQUIVALENCE
dico_trial_0016__en-eu__forward,dico_trial_0016,en,eu,walking,oinez ari da,dico_trial_0016__eu-en__reverse,EQUIVALENCE
dico_trial_0016__en-eu__reverse,dico_trial_0016,en,eu,is walking,oinez,dico_trial_0016__eu-en__forward,EQUIVALENCE
dico_trial_0016__es-en__forward,dico_trial_0016,es,en,caminando,is walking,dico_trial_0016__en-es__reverse,EQUIVALENCE
dico_trial_0016__es-en__reverse,dico_trial_0016,es,en,está caminando,walking,dico_trial_0016__en-es__forward,EQUIVALENCE
dico_trial_0016__es-eu__forward,dico_trial_0016,es,eu,caminando,oinez ari da,dico_trial_0016__eu-es__reverse,EQUIVALENCE
dico_trial_0016__es-eu__reverse,dico_trial_0016,es,eu,está caminando,oinez,dico_trial_0016__eu-es__forward,EQUIVALENCE
dico_trial_0016__eu-en__forward,dico_trial_0016,eu,en,oinez,is walking,dico_trial_0016__en-eu__reverse,EQUIVALENCE
dico_trial_0016__eu-en__reverse,dico_trial_0016,eu,en,oinez ari da,walking,dico_trial_0016__en-eu__forward,EQUIVALENCE
